DX7mK,r4rk1/1p2qpp1/1np1p2p/8/p2P4/2PQ3P/PPB2PP1/R4RK1 b - - 1 18,b6d5 d3h7,400,108,100,362,mate mateIn1 middlegame oneMove,https://lichess.org/vOTpvADP/black#36,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack
0QVd5,2r5/pbr2p1k/1p2p3/7P/3p4/6Q1/PP6/K1qR2R1 w - - 0 35,d1c1 c7c1 g1c1 c8c1,486,112,92,206,backRankMate endgame mate mateIn2 short,https://lichess.org/bWSMSOk7#69,
190lL,2kq4/2p3p1/PpQ4p/8/3rp3/6P1/5PP1/R4K1R w - - 1 30,a6a7 d4d1 a1d1 d8d1,471,89,100,272,endgame mate mateIn2 short,https://lichess.org/scqepPZB#59,
1Anqi,1r2k3/R4Rp1/6n1/3P4/4P3/P5p1/6PP/6K1 w - - 0 43,f7g7 b8b1,490,85,86,176,endgame mate mateIn1 oneMove,https://lichess.org/dV57QwDh#85,
Kdw5z,4r1k1/5p1p/p5pP/1p4P1/nP3P2/P1p5/2P1R3/2KR4 b - - 0 32,e8e2 d1d8 e2e8 d8e8,402,98,100,183,endgame mate mateIn2 short,https://lichess.org/cyz5GNEL/black#64,
d7o0W,1R6/Q2r1ppk/2b1p2p/8/8/6P1/5P1P/6K1 w - - 14 44,a7e3 d7d1 e3e1 d1e1,400,92,80,257,endgame mate mateIn2 short,https://lichess.org/kLBWCkfg#87,
nPU9C,r1r3k1/4bppp/3p2P1/3Qp3/1p1BP2P/pP3P2/P7/K1q4R w - - 2 26,h1c1 c8c1,424,88,100,89,endgame mate mateIn1 oneMove,https://lichess.org/fGTwyT3R#51,
rk6iD,3rq1k1/p3rpp1/1p3n1p/3p4/7Q/2P1N3/PP3PPP/3RR1K1 w - - 6 21,e3f5 e7e1 d1e1 e8e1,493,102,96,934,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/KEsoNakz#41,
PfCMJ,5r1k/Q5pp/8/5p1q/4pP2/PB6/1P2nBPK/4R3 w - - 1 34,f2h4 h5h4,439,107,95,2179,anastasiaMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/IbcmpVxm#67,
3ZjFl,6k1/6pp/p1q1p3/2BQ4/1P6/6P1/5R2/6K1 b - - 0 46,e6d5 f2f8,476,86,85,315,endgame mate mateIn1 oneMove,https://lichess.org/8u0xJdap/black#92,
wCtru,1Q1r2k1/4Rppp/p5q1/2p5/8/P1B3P1/1P3P1P/4R1K1 b - - 0 28,d8b8 e7e8 b8e8 e1e8,480,85,71,115,endgame mate mateIn2 short,https://lichess.org/shdxcfdI/black#56,
6U7oR,2r3k1/5p1p/2N3pK/1R2P3/8/4P3/6rP/8 b - - 1 32,c8c6 b5b8 c6c8 b8c8,452,114,94,318,endgame mate mateIn2 rookEndgame short,https://lichess.org/VFjkCMFJ/black#64,
qm225,1r4k1/pr4pp/1q3n2/3Pp3/b2pP3/b2P1PPB/PP1QN3/KR5R w - - 0 22,b2a3 b6b1 h1b1 b7b1,488,88,84,228,mate mateIn2 middlegame short,https://lichess.org/1V9NhpZp#43,
qWJaV,6k1/p4r1p/2qp2p1/4pb2/7Q/1P2B3/P2R1PPP/6K1 w - - 0 34,e3h6 c6c1 d2d1 c1d1,431,106,95,890,backRankMate endgame mate mateIn2 short,https://lichess.org/QMCmcxXy#67,
ANTHT,r3k2r/2pn1p2/bp1p3P/p2Pp1q1/P3P3/2P2QP1/2B2RK1/7R b - - 0 34,e8f8 f3f7,400,95,100,320,mate mateIn1 middlegame oneMove,https://lichess.org/kDzE7CUf/black#68,
guJtW,r2q1rk1/pp1b1pp1/1np1p2p/4P3/3P4/1P1Q1N2/P1B2PPP/R3R1K1 b - - 2 16,b6d5 d3h7,483,97,73,216,mate mateIn1 middlegame oneMove,https://lichess.org/0qiEGiNQ/black#32,Queens_Gambit_Accepted Queens_Gambit_Accepted_Saduleto_Variation
SfvAV,r3R1k1/pp3ppp/8/6q1/Q2N1n2/2pP1P2/P1P4P/R6K b - - 0 24,a8e8 a4e8,455,88,87,150,endgame mate mateIn1 oneMove,https://lichess.org/cqngE5nc/black#48,
lpKXv,4k3/pp4p1/7p/P2p4/8/8/P1r2PPP/3R2K1 w - - 0 29,d1d5 c2c1 d5d1 c1d1,424,89,100,684,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/TcnHTsrb#57,
I48Jp,r1bk2r1/pp1p4/2n5/3N3p/1P1QPRp1/8/P1P3P1/5RK1 b - - 0 20,c6d4 f4f8 g8f8 f1f8,483,87,100,208,mate mateIn2 middlegame short,https://lichess.org/4dbJKG2Y/black#40,
LA6Hj,8/5p2/4p1pk/3pP3/n1pP3P/4PP2/4K3/2Rb4 w - - 0 41,c1d1 a4c3 e2e1 c3d1,495,112,90,337,crushing endgame fork short,https://lichess.org/Se57CCvL#81,
q9Z10,6k1/p5b1/1q1p3P/2pP4/b5Q1/3pP3/PP4P1/1Kr4R w - - 1 38,b1c1 b6b2,428,84,100,686,endgame mate mateIn1 oneMove,https://lichess.org/LkMdgSKj#75,
lZUQf,5rk1/3q2pp/p1nN4/1pp1p2r/3p4/PP1P2Q1/1BP1KP2/5RR1 b - - 0 23,d7d6 g3g7,400,115,98,750,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/22zfQDbw/black#46,
DwUBC,7k/b1r3p1/P4p2/8/4B3/6pP/6P1/3R3K b - - 5 39,c7e7 d1d8 e7e8 d8e8,444,95,100,83,endgame mate mateIn2 short,https://lichess.org/alXvkwnJ/black#78,
13XVz,r5k1/p5bp/1p3qp1/2p5/4Pp2/3PQ3/PP3P2/1K1R3R w - - 0 23,e3h3 f6b2,400,92,87,206,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/17gmkppJ#45,
OSOn5,6k1/1r1r1pbp/2p1p1p1/p1B5/1p6/8/PPPR1PPP/2KR4 b - - 1 22,a5a4 d2d7 b7d7 d1d7,400,92,100,157,crushing endgame short,https://lichess.org/qdnBJHo0/black#44,
oRQGB,1r3rk1/1bp2ppp/p7/8/2QPq3/1P2B2P/P4PP1/3R1RK1 w - - 1 20,c4c3 e4g2,493,90,95,279,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/zBsFuCvn#39,
tt7Rj,3r3k/pp4p1/4Q2p/8/2p4P/5BP1/PPP2P2/1K1q4 w - - 5 29,f3d1 d8d1,499,88,97,1074,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/7VxgAKXa#57,
EfyKN,r2k2r1/pp3Q2/2p4p/8/3P4/2PpP1q1/PP4Pb/R1B2R1K w - - 2 20,c1d2 g3g2,499,90,81,158,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ojIyAE7W#39,
xlC9s,r7/8/8/8/8/2k2P2/1p5P/1K3R2 w - - 0 52,f1f2 a8a1,597,91,67,100,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/uV1MpG4U#103,
eWV71,3br1k1/1b3ppp/2qp4/RQ2p3/1P2B3/2P2N1P/1B3PP1/6K1 b - - 0 25,c6e4 b5e8,569,96,95,186,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/N0EVE3tN/black#50,
dYoj2,8/5kpp/r2b4/8/1pp3R1/P6P/1P1R1PP1/7K w - - 0 31,a3b4 a6a1 d2d1 a1d1,508,94,100,103,endgame mate mateIn2 short,https://lichess.org/e5fciFxJ#61,
Lun0G,Q7/8/4R1p1/1pr5/1k6/6Pp/4pP1P/7K w - - 2 44,e6e2 c5c1 e2e1 c1e1,540,97,81,596,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/PDP26Ipj#87,
bzZ4Q,1br2rk1/1b3p2/p5p1/1p5p/1q6/1P2Q1NP/P4PP1/1B2RRK1 b - - 0 23,f8e8 e3e8 c8e8 e1e8,562,83,91,97,advantage kingsideAttack middlegame short,https://lichess.org/WdtqRv6V/black#46,
jVWhQ,6k1/1p3ppp/4p3/8/n2r1P1N/6P1/7P/R5K1 b - - 1 31,a4c5 a1a8 d4d8 a8d8,588,100,94,1298,backRankMate endgame mate mateIn2 short,https://lichess.org/kmUZaWPL/black#62,
hH9Lv,b5k1/r1n2p1p/6p1/1NR5/3B4/7P/5PPK/8 b - - 8 36,c7b5 c5c8,540,101,90,384,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/vjhcjbtX/black#72,
Rx2bX,2k5/5Qp1/pP1B1b1p/3n3R/2r5/5N2/1P3PPP/6K1 w - - 1 35,h5d5 c4c1 d5d1 c1d1 f3e1 d1e1,591,98,77,549,backRankMate endgame fork long mate mateIn3,https://lichess.org/UoHXYSzw#69,
Gdtvz,3r1r2/p5pk/7p/2p2p2/1p3q2/1Q6/PPP3PP/5R1K w - - 0 29,f1f4 d8d1 f4f1 d1f1,588,87,75,114,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/6QKUyL22#57,
Cee46,3r2k1/pp4pp/2p5/2Pr1p2/1P2p3/P3P1P1/5P1P/R2R2K1 w - - 2 24,g1f1 d5d1 a1d1 d8d1,528,88,100,34,crushing endgame rookEndgame short,https://lichess.org/xj3Ruf3k#47,
ADzBj,1rb2rk1/5ppp/pbB1p3/1p2q3/1P6/P1NQP3/2P3PP/2KRR3 b - - 2 18,f8d8 d3d8 b6d8 d1d8,599,98,84,665,backRankMate mate mateIn2 middlegame short,https://lichess.org/6VicJmi3/black#36,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
XJUYp,2kr1b1Q/ppp2p1p/4p1p1/3P4/2q5/8/PP4PP/RNB2R1K w - - 0 18,c1g5 c4f1,553,91,100,236,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/vFEsDrwF#35,Alekhine_Defense Alekhine_Defense_Normal_Variation
SeZe9,r1bqk2r/3pppbp/p1n2np1/1p2P3/5Q2/1B3N2/PPP2PPP/RNB1K2R b KQkq - 2 9,f6h5 f4f7,538,86,59,152,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/gwsFtykB/black#18,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Fianchetto
8wFSz,1k6/pp6/1b3p1p/8/1P4q1/P3P1Pb/1Q3P1P/3R2K1 w - - 1 28,b2f6 g4d1,590,88,91,247,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/JK8AdgDt#55,
